Transcription Factor (TF) identifier assigned by RegulonDB	NAME	Effector Name	Effector Type	TF Conformation	TF conformation type (Active, Inactive)	Interaction type (covalente, allosteric)	Functional Conformation (Apo, Holo)	Evidence that supports the TF- Conformation [Evidence name|Evidence type: S = Strong, W = Weak| Evidence code]	PMID list
ECK120013750	Cbl			Cbl	Active		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	11918818, 17010379
ECK120013750	Cbl	Thiosulphate	negative	Cbl-Thiosulphate	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	17010379
ECK120013750	Cbl	Adenosine 5' phosphosulphate	negative	Cbl-adenosine 5' phosphosulphate	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	11918818, 17010379
ECK120012036	ChbR	Monoacetylchitobiose-6P	positive	ChbR-Monoacetylchitobiose-6P	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction]	22797760
ECK120011210	CpxR	Phosphate	positive	CpxR-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865, 16861804, 9159398
ECK120011210	CpxR			CpxR	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865, 16861804, 9159398
ECK120013112	Cra	Fructose-1-phosphate	negative	Cra-Fructose-1-phosphate	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	8230205, 8577250, 9084760
ECK120013112	Cra	Fructose-1,6-diphosphate	negative	Cra-Fructose-1,6-diphosphate	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	8230205, 8577250, 9084760
ECK120013112	Cra			Cra	Active		Apo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	8230205, 8577250, 9084760
ECK120035002	CreB	Phosphate	positive	CreB-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120035002	CreB			CreB	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865
ECK120034780	CueR	Au	positive	CuerR-Au	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [IPI|W|Inferred from physical interaction]	12958362
ECK120034780	CueR			CueR	Inactive		Apo	[IDA|S|Inferred from direct assay], [IPI|W|Inferred from physical interaction]	12958362
ECK120034780	CueR	Cu<sup>+</sup>	positive	CueR-Cu<sup>+</sup>	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [IPI|W|Inferred from physical interaction]	12958362
ECK120034780	CueR	Ag	positive	CueR-Ag	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [IPI|W|Inferred from physical interaction]	12958362
ECK120011941	CusR			CusR	Inactive		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865, 15773991
ECK120011941	CusR	Phosphate	positive	CusR-P<SUP>asp</SUP>	Active	Covalent	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15522865, 15773991
ECK120013065	CynR	Cyanate	positive	CynR-Cyanate	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	7961413
ECK120011312	CysB	Thiosulphate	negative	CysB-Thiosulfate	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [BPP|S|Binding of purified proteins]	1909324
ECK120011312	CysB	Sulphide	negative	CysB-Sulphide	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis]	2105304
ECK120011312	CysB	N-acetyl-L-serine	positive	CysB-N-acetyl-L-serine	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	11038360, 1909324, 2105304
ECK120011312	CysB	O-acetyl-L-serine	positive	CysB-O-acetyl-L-serine	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis]	2105304
ECK120012407	CytR			CytR	Active		Apo	[BPP|S|Binding of purified proteins]	1655726
ECK120012407	CytR	Cytidine	negative	CytR-Cytidine	Inactive	Allosteric	Holo	[BPP|S|Binding of purified proteins]	1655726
ECK120034977	DcuR			DcuR	Inactive		Apo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	14996819, 15522865
ECK120034977	DcuR	Phosphate	positive	DcuR-Phosphorylated	Active	Covalent	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	14996819, 15522865
ECK120012664	DeoR	Deoxyribose-5-phosphate	negative	DeoR-Deoxyribose-5-phosphate	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	2653814
ECK120012664	DeoR			DeoR	Active		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	2653814
ECK120015690	DhaR			DhaR	Active		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15616579
ECK120015690	DhaR	DhaK	negative	DhaR-DhaK	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	15616579
ECK120011903	DnaA			DnaA	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	9674428
ECK120011903	DnaA	ATP	positive	DnaA-ATP	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	9674428
ECK120034476	DpiA	Phosphate	positive	DpiA-P<sup>asp</sup>	Active	Covalent	Holo	[SM|S|Site mutation], [IEP|W|Inferred from expression pattern]	9701802
ECK120034476	DpiA			DpiA	Inactive		Apo	[SM|S|Site mutation], [IEP|W|Inferred from expression pattern]	9701802
ECK120013081	DsdC	D-serine	positive	DsdC-D-serine	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	6090429, 6296057
ECK120013081	DsdC			DsdC	Active		Apo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	6090429, 6296057
ECK120011575	EvgA	Phosphate	positive	EvgA-Phosphorylated	Active	Covalent	Holo	[SM|S|Site mutation], [BPP|S|Binding of purified proteins], [AIFS|W|Automated inference of function from sequence]	10923791
ECK120011575	EvgA			EvgA	Inactive		Apo	[SM|S|Site mutation], [BPP|S|Binding of purified proteins], [AIFS|W|Automated inference of function from sequence]	10923791
ECK120011229	FNR	[2Fe-2S]<sup>2+</sup> oxidized	negative	FNR-[2Fe-2S]<sup>2+</sup> oxidized	Inactive	Covalent	Apo	[IDA|S|Inferred from direct assay], [IPI|W|Inferred from physical interaction]	14730984, 9177174
ECK120011229	FNR	[4Fe-4S]<sup>2+</sup> reduced	positive	FNR-[4Fe-4S]<sup>2+</sup> reduced	Active	Covalent	Holo	[IDA|S|Inferred from direct assay], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	15547274, 18055593, 19261852, 8497198, 9177174
ECK120011824	FadR	Acyl-CoA	negative	FadR-acyl-CoA	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	1569108
ECK120011824	FadR			FadR	Active		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	1569108
ECK120011394	FhlA	Formate	positive	FhlA-Formate	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	10848985, 8981978
ECK120011394	FhlA			FhlA	Inactive		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	10848985, 8981978
ECK120013118	FucR	L-fuculose-1-phosphate	positive	FucR-L-fuculose-1-phosphate	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IMP|W|Inferred from mutant phenotype], [IPI|W|Inferred from physical interaction]	3005235
ECK120013118	FucR			FucR	Inactive		Apo	[GEA|W|Gene expression analysis], [IMP|W|Inferred from mutant phenotype], [IPI|W|Inferred from physical interaction]	3005235
ECK120033465	Fur	Fe<sup>2+</sup>	negative	Fur-Fe<sup>2+</sup>	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction]	12746439, 16690618, 1849822, 2823881
ECK120033465	Fur	Mn<sup>2+</sup>	positive	Fur-Mn<sup>2+</sup>	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction]	12746439, 16690618, 1849822, 2823881
ECK120033465	Fur			Fur	Inactive		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction]	12746439, 16690618, 1849822, 2823881
ECK120012713	GalR	galactose	negative	GalR-galactose	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	8416900, 8982002
ECK120012713	GalR			GalR	Active		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	8416900, 8982002
ECK120012704	GalS	galactose	negative	GalS-galactose	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	8416900, 8619994, 8982002
ECK120012704	GalS			GalS	Active		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	8416900, 8619994, 8982002
ECK120012465	GcvA			GcvA	Active		Apo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	11495998, 12101307
ECK120012465	GcvA	Purine	negative	GcvA-Purine	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	11495998, 12101307
ECK120012465	GcvA	Glycine	negative	GcvA-Glycine	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	11495998, 12101307
ECK120011437	GlcC	Glycolate	positive	GlcC-Glycolate	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	9880556
ECK120011437	GlcC	Acetate	positive	GlcC-Acetate	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	9880556
ECK120011437	GlcC			GlcC	Inactive		Apo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	9880556
ECK120012730	GlpR			GlpR	Active		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	3316209
ECK120012730	GlpR	Glycerol-3-phosphate	negative	GlpR-glycerol-3-phosphate	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	3316209
ECK125108627	GlrR			GlrR	Inactive		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	19843219
ECK125108627	GlrR	Phosphate	positive	GlrR-P<sup>asp56</sup>	Active	Covalent	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	19843219
ECK120012096	GntR	Gluconate	negative	GntR-gluconate	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [IEP|W|Inferred from expression pattern]	9135111
ECK120012096	GntR			GntR	Active		Apo	[GEA|W|Gene expression analysis], [IEP|W|Inferred from expression pattern]	9135111
ECK120013144	GutR			GutR	Active		Apo	[GEA|W|Gene expression analysis]	3062173
ECK120013144	GutR	Glucitol	negative	GutR-glucitol	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis]	3062173
ECK120011897	IclR	Pyruvate	negative	IclR-pyruvate	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	17426033
ECK120011897	IclR	Glyoxylate	negative	IclR-glyoxylate	Inactive	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	17426033
ECK120012101	IdnR			IdnR	Inactive		Apo	[GEA|W|Gene expression analysis], [IMP|W|Inferred from mutant phenotype]	14973046
ECK120012101	IdnR	5-ketogluconate	positive	IdnR-5-ketogluconate	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IMP|W|Inferred from mutant phenotype]	14973046
ECK120012101	IdnR	Idonate	positive	IdnR-Idonate	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [IMP|W|Inferred from mutant phenotype]	14973046
ECK120012965	IlvY	Alfa-acetohydroxybutirate	positive	IlvY-Alfa-acetohydroxybutirate	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	9556617
ECK120012965	IlvY	2-acetolactate	positive	IlvY-2-acetolactate	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	9556617
ECK120012965	IlvY			IlvY	Active		Apo	[IDA|S|Inferred from direct assay], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	9556617
ECK120011429	IscR			IscR	Active		Apo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	19361432
ECK120011429	IscR	[2Fe-2S]<sup>1+</sup>	positive	IscR-[2Fe-2S]<sup>1+</sup>	Active	Covalent	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	11742080, 19361432
ECK120048960	KdpE			KdpE	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	15522865, 19101563
ECK120048960	KdpE			KdpE-Phosphorylated	Active	Covalent	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	15522865, 19101563
ECK120012762	LacI			LacI	Active		Apo	[IPI|W|Inferred from physical interaction]	17543986
ECK120012762	LacI	Allolactose	negative	LacI-allolactose	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction]	17543986
ECK120013830	LldR			LldR	Active		Apo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	18263722
ECK120013830	LldR	L-lactate	positive	LldR-L-lactate	Active	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	18263722
ECK120011383	Lrp	Leucine	positive	Lrp-Leucine	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	11575919
ECK120015681	LsrR	4,5-dihydroxy-2,3-pentanedione	negative	LsrR-4,5-dihydroxy-2,3-pentanedione	Inactive	Allosteric	Holo	[IMP|W|Inferred from mutant phenotype], [IEP|W|Inferred from expression pattern]	17557827
ECK120015681	LsrR	4,5-dihydroxy-2,3-pentanedione	negative	LsrR	Active	Allosteric	Apo	[IMP|W|Inferred from mutant phenotype], [IPI|W|Inferred from physical interaction], [IEP|W|Inferred from expression pattern]	17274596, 17557827
ECK120015681	LsrR	4,5-dihydroxy-2,3-pentanedione-P	negative	LsrR-4,5-dihydroxy-2,3-pentanedione-P	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction]	17274596
ECK120012218	MalT	ADP	positive	MalT-ADP-Maltotriose	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction]	10559195
ECK120012218	MalT	Maltotriose		MalT-Maltotriose-ATP	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [SM|S|Site mutation], [IMP|W|Inferred from mutant phenotype], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10559195, 10692154, 11867639, 15180985, 2180908, 2524384, 3298211
ECK120012218	MalT	MalY	negative	MalT-MalY	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	10692154, 12003949
ECK120012218	MalT	MalK	negative	MalT-MalK	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins], [IEP|W|Inferred from expression pattern]	12003949, 15180985, 15733913, 9822819
ECK120012218	MalT	ATP	positive	MalT-Maltotriose-ATP	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [SM|S|Site mutation], [IMP|W|Inferred from mutant phenotype], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10559195, 10692154, 11867639, 15180985, 2180908, 2524384, 3298211
ECK120012218	MalT	Aes	negative	MalT-Aes	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction]	11867639
ECK120012218	MalT			MalT	Inactive		Apo	[IDA|S|Inferred from direct assay], [SM|S|Site mutation], [IMP|W|Inferred from mutant phenotype], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10559195, 10692154, 11867639, 15180985, 15491603, 2180908, 3298211
ECK120013191	MarR	Sodium salicylate	negative	MarR-Sodium salicylate	Inactive	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10419969
ECK120013191	MarR	Salicylate	negative	MarR-salicylate	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	7504664, 7768850
ECK120013191	MarR	Plumbagin	negative	MarR-Plumbagin	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10419969, 7768850
ECK120013191	MarR	Phenazine methosulfate	negative	MarR-Phenazine methosulfate	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	7768850
ECK120013191	MarR	Menadione	negative	MarR-Menadione	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10419969, 7768850
ECK120013191	MarR	Benzoate	negative	MarR-Benzoate	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	7768850
ECK120013191	MarR	2,4-dinitrophenol	negative	MarR-2,4-dinitrophenol	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10419969, 7768850
ECK120013191	MarR			MarR	Active		Apo	[GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10419969, 7504664, 7768850
ECK120013191	MarR	Paraquat	negative	MarR-Paraquat	Inactive	Allosteric	Holo	[GEA|W|Gene expression analysis], [BPP|S|Binding of purified proteins]	7768850
ECK120012347	MelR			MelR	Active		Apo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10760178, 18346968
ECK120012347	MelR	Melibiose	positive	MelR-Melibiose	Active	Allosteric	Holo	[IDA|S|Inferred from direct assay], [GEA|W|Gene expression analysis], [IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	10760178, 18346968
ECK120048948	MetJ			MetJ	Inactive		Apo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	3090041, 7862523
ECK120048948	MetJ	S-adenosylmethionine	positive	MetJ-S-adenosylmethionine	Active	Allosteric	Holo	[IPI|W|Inferred from physical interaction], [BPP|S|Binding of purified proteins]	3090041, 7862523
ECK120012802	MetR			MetR	Inactive		Apo	[GEA|W|Gene expression analysis], [SM|S|Site mutation], [BPP|S|Binding of purified proteins]	1943695, 2205852
